Authors,Author(s) ID,Title,Link,Author Keywords,Index Keywords
"Boby R.A.","36069116200;","Identification of elasto-static parameters of an industrial robot using monocular camera","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118560753&doi=10.1016%2fj.rcim.2021.102276&partnerID=40&md5=f5cc5eb29a92e408625d423eb6dda1ce","Accuracy; Camera; Computer vision; Elasto-static parameters; Industrial robot; Kinematic identification","Computer vision; End effectors; Errors; Industrial robots; Kinematics; Observability; Parameter estimation; Accuracy; Elasto-static parameter; Elasto-statics; Experimental strategy; Geometric method; Kinematic identification; Method of identifications; Monocular cameras; Parametric method; Static parameters; Cameras"
"Ayyub M., Oracevic A., Hussain R., Khan A.A., Zhang Z.","57322543000;55229307000;35324500900;57200276340;15838260000;","A comprehensive survey on clustering in vehicular networks: Current solutions and future challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118503151&doi=10.1016%2fj.adhoc.2021.102729&partnerID=40&md5=38e6d906a43aba5135c90ef85f45e44a","Clustering; Connected car; Intelligent Transportation System; VANET; Vehicular networks","Application programs; Biomimetics; Cluster analysis; Clustering algorithms; Fuzzy logic; Intelligent vehicle highway systems; Machine learning; Scalability; Surveys; Vehicle to vehicle communications; Vehicular ad hoc networks; Based clustering; Cluster maintenance; Clustering mechanism; Clusterings; Communication paradigm; Connected car; Holistic approach; Intelligent transportation systems; VANET; Vehicular networks; Intelligent systems"
"Dlamini G., Jolha F., Kholmatova Z., Succi G.","57216151508;57312981500;57219433553;7004757466;","Meta-analytical comparison of energy consumed by two sorting algorithms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117941007&doi=10.1016%2fj.ins.2021.09.061&partnerID=40&md5=1d047b619b5584072e24f4bb42301e5f","Embedded systems; Energy consumption; Energy efficiency; Merge sort; Mobile computing; Mobile devices; Quick sort; Sorting algorithms","Embedded systems; Energy utilization; Mobile computing; Device performance; Embedded-system; Energy; Energy-consumption; Hardware and software; Merge sort; Mobile-computing; Quick sorts; Sorting algorithm; Energy efficiency"
"Briskin E.S., Platonov V.уN., Smirnaya L.D.","6506125834;57265434900;57219114324;","About the Distribution of Traction Efforts Between the Propulsion Devices of Walking Robots","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115239747&doi=10.1007%2f978-3-030-86294-7_25&partnerID=40&md5=b11a60963e9dd09bb1b7ddaca19b862e","Anchor-cable propulsion device; Distribution of traction efforts; Optimization; Walking robots",
"Bordyugov D.V., Briskin E.S., Sharonov N.G.","57265051200;6506125834;56263638700;","The Motion Control Research of the Mobile Robot with Vibrating Propulsion Device Which Discretely Interacting with the Supporting Surface","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115201878&doi=10.1007%2f978-3-030-86294-7_37&partnerID=40&md5=df5e9ae110e0d09ceab76544dc0cb95f","Propulsion device; Robotics; Vibration",
"Pavlovskaya E., Zakharova A., Titarev D.","57263912300;57193934812;57211637524;","Algorithm for Calculating Doses of Mineral Fertilizers Based on Linear Optimization Model","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115191081&doi=10.1007%2f978-981-16-3349-2_31&partnerID=40&md5=53abc671ac76b21c40140879b46c6a2f","Agricultural production; Algorithm; Increasing production of an agroecosystem of a territory; Innovative development; Linear optimization model; Management","Crops; Fertilizers; Fertilization schedules; Land utilization; Linear optimization; Linear optimization model; Mathematical method; Mineral fertilizers; Optimization models; Soil composition; Linear programming"
"Mesbah Y., Ibrahim Y.Y., Khan A.M.","57222814512;57222815355;57226880815;","Domain Generalization Using Ensemble Learning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113208163&doi=10.1007%2f978-3-030-82193-7_15&partnerID=40&md5=07eb06e718ada1b1828ff231ce063aa0","Domain Generalization; Ensemble learning; Neural networks",
"Geramian A., Abraham A.","56367710200;7202760099;","Customer classification: A Mamdani fuzzy inference system standpoint for modifying the failure mode and effect analysis based three dimensional approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113274129&doi=10.1016%2fj.eswa.2021.115753&partnerID=40&md5=3d306bf3fa341e07b59942d1c33f56f4","Customer classification; FMEA; Fuzzy inference system; Fuzzy logic; Fuzzy sets; Loyalty","Computer circuits; Failure (mechanical); Failure modes; Fuzzy inference; Fuzzy sets; Matrix algebra; Customer classification; Failure mode and effects analysis; Fuzzy inference systems; Fuzzy-Logic; Innovative approaches; Loyalty; Mamdani fuzzy inferences; matrix; Multi input single outputs; Potential markets; Sales"
"Goodarzian F., Abraham A., Ghasemi P., Di Mascolo M., Nasseri H.","57208797688;7202760099;57190337049;56026192300;12144289400;","Designing a green home healthcare network using grey flexible linear programming: Heuristic approaches","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119262686&doi=10.1093%2fjcde%2fqwab057&partnerID=40&md5=e5915450cf25d6b18150141fced07379","green home healthcare network, location-allocation-routing problem; grey flexible linear programming, hybrid algorithms","Developing countries; Genetic algorithms; Heuristic algorithms; Home health care; Home networks; Intelligent buildings; Linear programming; Network routing; Personal communication systems; Simulated annealing; Sustainable development; Uncertainty analysis; Gray flexible linear programming, hybrid algorithm; Green home healthcare network, location-allocation-routing problem; Green homes; Home healthcare; Hybrid algorithms; Linear-programming; Location-allocation; Network location; Programming: heuristic; Routing problems; Heuristic methods; design method; health care; heuristics; linear programing; network analysis"
"Burmyakov A., Nikolić B.","55521059400;54916066700;","An exact comparison of global, partitioned, and semi-partitioned fixed-priority real-time multiprocessor schedulers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118513446&doi=10.1016%2fj.sysarc.2021.102313&partnerID=40&md5=55651f351e6759b9a61622572d1b001e","Fixed priorities; Global and partitioned scheduling; Multiprocessor scheduling; Optimal priorities; Real-time systems","C++ (programming language); Computer software; Interactive computer systems; Multiprocessing systems; Optimization; Petroleum reservoir evaluation; Scheduling; Dead-line monotonic; Fixed priorities; Fixed-priority schedulers; Global and partitioned scheduling; Global scheduling; Multi processor scheduling; Optimal priority; Performance; Real - Time system; Schedulability test; Real time systems"
"Andreev A.V., Balanov A.G., Fromhold T.M., Greenaway M.T., Hramov A.E., Li W., Makarov V.V., Zagoskin A.M.","57197756291;7003652571;7004472507;23034534100;6603156741;57203332191;56459531300;7004144244;","Emergence and control of complex behaviors in driven systems of interacting qubits with dissipation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098646726&doi=10.1038%2fs41534-020-00339-1&partnerID=40&md5=a8a7e4f68e075b8cc65589ad42de3323",,"Chaotic systems; Dynamics; Quantum theory; Stochastic systems; Chaotic behaviors; Coherent structure; Emergent phenomenon; Non-equilibrium dynamics; Quantum correlations; Quantum structure; Reduced description; Strong interaction; Qubits"
"Amaro Junior B., Santos M.C., de Carvalho G.N., de Araújo L.J.P., Pinheiro P.R.","55811742900;55325594300;57329838200;57194583034;23390313600;","Metaheuristics for the minimum time cut path problem with different cutting and sliding speeds","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118835254&doi=10.3390%2fa14110305&partnerID=40&md5=0a249eaca8bd6b64aa93e8591fac4418","Cut & packing problems; Cut determination problem; Evolutionary computation","Cutting; Machinery; Cut & packing problem; Cut determination problem; Cut-path; Cutting and packing problem; Cutting speed; Metaheuristic; Minimum time; Packing problems; Path problems; Sliding speed; Heuristic algorithms"
"Khan M.H., Saleem Z., Ahmad M., Sohaib A., Ayaz H., Mazzara M., Raza R.A.","57219442859;57218769423;55232255600;57218763640;57218760714;8557895400;56909774500;","Hyperspectral imaging-based unsupervised adulterated red chili content transformation for classification: Identification of red chili adulterants","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106764664&doi=10.1007%2fs00521-021-06094-4&partnerID=40&md5=1bfcd5be6cd50fff0ea69a16d34045a1","Classification; Clustering; Hyperspectral imaging; Red chili adulteration","Infrared devices; Regression analysis; Spectroscopy; Support vector machines; Classification models; Classification performance; Clustering mechanism; One class-SVM; PLS regression; Quality techniques; Spectral response; Visible and near infrared; Hyperspectral imaging"
"Succi G.","57338213600;","Welcome from the Chairs","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119073220&partnerID=40&md5=ec1871a10c15c8674b1d2db8c2d30256",,
"Elbatanony A., Succi G.","57337760400;7004757466;","The pareto distribution of software features and no-code","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119071663&doi=10.1145%2f3486949.3486964&partnerID=40&md5=108a49bc04d11d0fd532ced392d937e8","No-code; Pareto distribution; Software Features","Application programs; No-code; Pareto distributions; Research analysis; Software applications; Software developer; Software features; Pareto principle"
"Elbatanony A., Succi G.","57337760400;7004757466;","Towards the no-code era: A vision and plan for the future of software development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119063881&doi=10.1145%2f3486949.3486965&partnerID=40&md5=2026ca81978ce296ba09e295da212c0d","API; Cloud Computing; Configuration Driven Development; Cross-platform; Design Systems; No-code; Open-source","Open source software; Open systems; Software design; API; Cloud-computing; Computing system; Configuration driven development; Cross-platform; Design systems; No-code; Open-source; Cloud computing"
"Yuloskov A., Bahrami M.R., Mazzara M., Kotorov I.","57286135600;57197731584;8557895400;57218595977;","Smart cities in russia: Current situation and insights for future development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116491046&doi=10.3390%2ffi13100252&partnerID=40&md5=3c5ef43f1e2782f596fadc9f8513c867","Challenges for smart cities in russia; Smart cities in russia; Smart city; Smart city components","Challenge for smart city in russia; Current situation; Developing projects; Ecological trends; Green technology; Scientific literature; Smart city component; Smart city in russia; Social trend; Technological trends"
"Popov D., Klimchik A., Pashkevich A.","57206536564;37016245900;6701582655;","Real-Time Estimation of Multiple Potential Contact Locations and Forces","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111763077&doi=10.1109%2fLRA.2021.3095902&partnerID=40&md5=b289572ee7d2a43e40399527ff0e70ba","contact modeling; force and tactile sensing; human-robot collaboration; Physical human-robot interaction","Agricultural robots; Mesh generation; Vector spaces; Collaborative robots; External force estimation; Hierarchical robots; Localization method; Multiple solutions; Potential contacts; Real time performance; Real-time estimation; Robots"
"Nedelchev S., Skvortsova V., Guryev B., Gaponov I., Ryu J.-H.","57200310148;57218706409;57226185024;24922859900;7401867592;","On Energy-Preserving Motion in Twisted String Actuators","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110823291&doi=10.1109%2fLRA.2021.3097655&partnerID=40&md5=696748bad57c33910927bed4e07584fd","actuation and joint mechanisms; Dynamics; motion control","Actuators; Agricultural robots; Controllers; Robotics; Desired trajectories; Experimental verification; Oscillatory behaviors; Oscillatory response; Periodic trajectories; Robotic applications; Robotic end-effectors; Sustained oscillations; End effectors"
"Lee H., Kim J., Ahn S., Hussain R., Cho S., Son J.","57225127807;57193138696;57216437395;35324500900;8567664700;37049229900;","Digestive neural networks: A novel defense strategy against inference attacks in federated learning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109215987&doi=10.1016%2fj.cose.2021.102378&partnerID=40&md5=61e16e223c12f5b12ee6f011bd0e175b","AI Security; Digestive neural networks; Federated learning (FL); Federated learning security; Inference attack; ML Security; t-SNE analysis; White-box assumption","Data privacy; Network security; Neural networks; AI security; Classification accuracy; Digestive neural network; Federated learning; Federated learning security; Inference attacks; ML security; Neural-networks; T-SNE analyse; White-box assumption; Learning systems"
"Dlamini G., Fahim M.","57216151508;36606049200;","DGM: a data generative model to improve minority class presence in anomaly detection domain","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104888823&doi=10.1007%2fs00521-021-05993-w&partnerID=40&md5=465ec71d7877316012fe97352995bed8","Cybersecurity; Data balancing; Generative adversarial network; Intrusion detection system","Classification (of information); Learning systems; Abnormal behavior; Adversarial networks; Benchmark datasets; Class distributions; Comparative analysis; Data distribution; Multi-class classification; Performance of classifier; Anomaly detection"
"Boby R.A., Klimchik A.","36069116200;37016245900;","Combination of geometric and parametric approaches for kinematic identification of an industrial robot","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102113921&doi=10.1016%2fj.rcim.2021.102142&partnerID=40&md5=0bb9f99166117f9bc21ba363d7a8c2b5","Accuracy; Experimental validation; Geometric approach; Industrial robot; Kinematic identification; Parametric approach","Agricultural robots; Cameras; Deterioration; End effectors; Geometry; Industrial robots; Instrument errors; Jacobian matrices; Kinematics; Least squares approximations; Observability; Conventional approach; Damped-least-squares method; Estimation process; Experimental strategy; Geometric approaches; Measurement instruments; Multicamera systems; Parametric approach; Parameter estimation"
